name,pricing/rate/amount,address,location/lat,location/lng,url
AC House -Town/Beach,1400,"Cabo Rojo, Puerto Rico",18.03374,-67.17921,https://www.airbnb.com/rooms/26792
Beachfront for Family Gatherings-Book Entire Venue,1400,"Añasco, Puerto Rico",18.27722,-67.18872,https://www.airbnb.com/rooms/27871840
"Cayo Verde, a spacious house with pool at Parguera",800,"Lajas, Puerto Rico",17.99167,-67.05719,https://www.airbnb.com/rooms/45482115
Pink House at Dorado Beach East,825,"Dorado, Puerto Rico",18.46749,-66.28935,https://www.airbnb.com/rooms/43890590
5 Beachfront Cabanas FOR 30 GUESTS -Sunset Village,1321,"Cabo Rojo, Puerto Rico",17.986,-67.214,https://www.airbnb.com/rooms/48281445
Agua Linda: Casa Sol,950,"Rincón, Puerto Rico",18.36979,-67.25541,https://www.airbnb.com/rooms/36104758
"#9 Private Isla Verde Beach Pool House, sleeps 28!",800,"Carolina, Puerto Rico",18.44197,-66.03331,https://www.airbnb.com/rooms/53290642
"Ocean View Paradise (2 houses, 26 guests, 2 Pools)",1314,"Rincón, Puerto Rico",18.371627121036767,-67.2580213,https://www.airbnb.com/rooms/36145629
"Oceanfront Paradise: Pool, Terrace, & Beach Access",950,"Rincón, Puerto Rico",18.37408,-67.23941,https://www.airbnb.com/rooms/18194459
Great Family 11 Suites Property with Pool.,1400,"Luquillo, Puerto Rico",18.362,-65.762,https://www.airbnb.com/rooms/45418204
Beachfront & Pool Paradise Guesthouse,850,"Loíza, Puerto Rico",18.457,-65.984,https://www.airbnb.com/rooms/22750961
El Cerro: Main House and Pool House on 30 acres,1200,"Vieques, Puerto Rico",18.10299,-65.47335,https://www.airbnb.com/rooms/19404271
Casa Bahia- 22 Person Luxury Ocean Front Villa,1400,"Cabo Rojo, Puerto Rico",17.95123,-67.19496,https://www.airbnb.com/rooms/52306536
Villa Shacks Entire House,1200,"Isabela, Puerto Rico",18.51336,-67.10376,https://www.airbnb.com/rooms/23709270
"Pura Vida - November to remember, Huge savings!",927,"Rincon, Puerto Rico",18.348,-67.261,https://www.airbnb.com/rooms/37800434
Faro Escondido Pool&Jacuzzi Ocean View by BioBay,1011,"Fajardo, Puerto Rico",18.368,-65.624,https://www.airbnb.com/rooms/25903040
Coralina Del Mar - Sustainable Beachfront Oasis,928,"Rincón, Puerto Rico",18.36801,-67.26169,https://www.airbnb.com/rooms/15199655
Casa Tenerife  Luxury Ocean Front w/ Heated Pool…,899,"Aguada, Puerto Rico",18.39897,-67.18808,https://www.airbnb.com/rooms/53240193
7 Bedrooms Villa Paradise,799,"San Juan, Puerto Rico",18.36018,-66.03862,https://www.airbnb.com/rooms/53841916
Casa Saffra  Dream Beach House 2,1242,"San Juan, Puerto Rico",18.45181,-66.04474,https://www.airbnb.com/rooms/18934026
Spacious mansion for 14!,978,"Guaynabo, Puerto Rico",18.39504,-66.11918,https://www.airbnb.com/rooms/52524999
North Shore Pointe-Five Bedroom - Vieques Ocean,863,"Vieques, Puerto Rico",18.157,-65.438,https://www.airbnb.com/rooms/13558867
SEAHORSE VILLA: oceanfront luxury rental,1400,"Culebra, Puerto Rico",18.30544,-65.3114,https://www.airbnb.com/rooms/20771954
Ultimate Beachfront Oasis,850,"Rincón, Puerto Rico",18.32023,-67.24617,https://www.airbnb.com/rooms/53219474
Oceanfront Villa in Exclusive Gated Community,995,"Vieques, Puerto Rico",18.143,-65.469,https://www.airbnb.com/rooms/40754614
"Villa Bella Vista, Oceanfront in Gated Community",895,"Vieques, Puerto Rico",18.143,-65.469,https://www.airbnb.com/rooms/40400904
"Bella Vista, Villa @Dorado beach property w/ pools",924,"Dorado, Puerto Rico",18.47437,-66.30022,https://www.airbnb.com/rooms/30862291
Oceanfront Home with Spectacular View,1000,"Dorado, Puerto Rico",18.47225,-66.31405,https://www.airbnb.com/rooms/26057969
Bucketlist BeachVilla / Close to Beach,800,"San Juan, Puerto Rico",18.44977,-66.03877,https://www.airbnb.com/rooms/53499462
Rainbow Luxury Villa Beach House 🏝,870,"San Juan, Puerto Rico",18.45085,-66.03769,https://www.airbnb.com/rooms/43422770
Luxurious Historic House in Old San Juan,800,"San Juan, Puerto Rico",18.46667,-66.11938,https://www.airbnb.com/rooms/50217153
Casa Saffra @ La Placita 6/7 For Friends & Family,820,"San Juan, Puerto Rico",18.45041,-66.07015,https://www.airbnb.com/rooms/40540284
Casa Maramar Luxury Mansion at Palmas del Mar,800,"Humacao, Puerto Rico",18.075,-65.803,https://www.airbnb.com/rooms/50045402
Villa Azul at The Greens in Dorado Beach,900,"Dorado, Puerto Rico",18.47071,-66.31214,https://www.airbnb.com/rooms/42299265
"Beachfront Luxury 2BR@Villa Acqua, Rio Mar",850,"Río Grande, Puerto Rico",18.38455,-65.75841,https://www.airbnb.com/rooms/40170782
Casa Saffra  Beach House 1  in San Juan,1542,"San Juan, Arecibo, Puerto Rico",18.45121,-66.04485,https://www.airbnb.com/rooms/18812232
Tropical Cabin Paradise on Caribbean Sea,899,"Vieques, Puerto Rico",18.09746,-65.47916,https://www.airbnb.com/rooms/10963961
Beachfront/Snorkel in Backyard/Walk to Beach Bars,1040,"Rincón, Puerto Rico",18.326,-67.249,https://www.airbnb.com/rooms/39797738
Luxurious Beach Villa at the Bahia Beach Resort,1200,"Río Grande, Puerto Rico",18.409,-65.813,https://www.airbnb.com/rooms/53590490
